0	1	date	formato
-89.6524002	20.9666759	2003-06-01	TIENDA COPPEL
-116.9711904	32.4765508	2003-12-01	TIENDA COPPEL
-99.1774077	19.6695017	2003-12-01	TIENDA COPPEL
-99.0595787	19.5101476	2003-09-01	TIENDA COPPEL
-88.3248835	18.5212518	2003-12-01	TIENDA COPPEL
-96.7201489	17.0455585	2003-10-01	TIENDA COPPEL
-116.6323548	32.5689926	2003-09-01	TIENDA COPPEL
-107.4258193	24.8157317	2003-11-01	TIENDA COPPEL
-99.2163769	19.4600439	2016-12-15	COPPEL DIGITAL
-103.7369358	19.2724025	2003-10-01	TIENDA COPPEL
-96.1086696	19.1558468	2003-11-01	TIENDA COPPEL
-99.5943414	19.2812989	2004-04-01	TIENDA COPPEL
-103.3458239	20.7208648	2004-02-01	TIENDA COPPEL
76.71305	30.6748866	2003-12-01	TIENDA COPPEL
-110.9951847	29.1455309	2003-10-01	TIENDA COPPEL
-110.3115207	24.117616	2003-10-01	TIENDA COPPEL
-91.8088009	18.6552848	2003-10-01	TIENDA COPPEL
-110.9794322	29.11816	2004-04-01	TIENDA COPPEL
-104.3384616	19.1138094	2004-03-01	TIENDA COPPEL
-101.2123022	19.7025966	2004-05-01	TIENDA COPPEL
-100.8123549	20.5192244	2004-02-01	TIENDA COPPEL
-101.8535838	21.0174961	2004-02-01	TIENDA COPPEL
-99.5053464	17.5408483	2004-04-01	TIENDA COPPEL
-98.9491686	18.8095339	2004-04-01	TIENDA COPPEL
-99.0687125	19.6420785	2004-07-01	TIENDA COPPEL
-99.50774	27.4666247	2004-04-01	TIENDA COPPEL
-98.4692586	18.5981588	2004-04-01	TIENDA COPPEL
-106.4245478	31.6903638	2004-12-01	TIENDA MUEBLES
-117.0593287	32.3679954	2004-07-01	TIENDA COPPEL
-99.1536615	19.4247257	2004-06-01	TIENDA COPPEL
-98.9439975	19.2781177	2004-06-01	TIENDA COPPEL
-99.0545223	19.5734481	2004-04-01	TIENDA MUEBLES
-89.6436072	20.9631702	2004-07-01	TIENDA COPPEL
-107.4006967	24.8162641	2004-12-01	TIENDA COPPEL
-89.6568722	20.9854965	2004-07-01	TIENDA COPPEL
-100.7159748	20.0283173	2004-07-01	TIENDA COPPEL
-100.3726762	20.5701857	2004-07-01	TIENDA COPPEL
-94.4722117	18.1464718	2004-06-01	TIENDA COPPEL
-104.6641195	24.0076285	2004-07-01	TIENDA COPPEL
-103.5010903	25.5972879	2004-06-01	TIENDA COPPEL
-109.0145192	25.8001765	2004-06-01	TIENDA COPPEL
-106.4042855	23.261402	2004-06-01	TIENDA COPPEL
-107.426603	24.7470679	2004-06-01	TIENDA COPPEL
-109.5531233	31.3241753	2004-09-01	TIENDA COPPEL
-113.5374253	31.3231138	2004-08-01	TIENDA COPPEL
-97.4469247	18.9928203	2004-08-01	TIENDA COPPEL
-102.5718423	22.7719005	2004-11-01	TIENDA COPPEL
-103.4661639	19.7028378	2004-08-01	TIENDA COPPEL
-103.4491467	25.5601506	2004-09-01	TIENDA COPPEL
-101.7103459	21.1032458	2004-08-01	TIENDA COPPEL
-100.3516619	25.7572141	2004-08-01	TIENDA MUEBLES + ZAPATERIA
-100.1754666	25.7434098	2004-11-01	TIENDA COPPEL
